distance_bin,P_t_dB,MCS,numerology,protocol_type,beta,PDR,PIR,cumulative_PDR,cumulative_PIR
400,23,4,0,SPC6G,0.1,0.860444262261058,0.11621903287171913,0.9537544080920886,0.10505472441096844
400,23,4,0,SPC6G,0.15,0.6693255162495304,0.1494041353157066,0.8817329026655578,0.11503214562826877
400,23,11,0,NRV2X,0.05,0.8972028892670717,0.11145750999719849,0.9646736311000121,0.10378809135330268
400,23,11,0,NRV2X,0.1,0.7945191441805352,0.12586229133992702,0.9272494066000684,0.10843426009171547
400,23,11,0,NRV2X,0.15,0.6654306620871706,0.1502786175893111,0.8757013992893412,0.11616651985698835
400,23,11,0,SPC6G,0.05,0.9856862084245859,0.1014521651467856,0.9951615903372859,0.10048835137390853
400,23,11,0,SPC6G,0.1,0.9445171155206006,0.10587420636086815,0.980941185748297,0.10197708846021256
400,23,11,0,SPC6G,0.15,0.8678064676161277,0.11523306604835629,0.953065250639004,0.10514279621870222
425,23,4,0,NRV2X,0.05,0.849585621753542,0.11770444018767681,0.9505481095845403,0.10545702730248238
425,23,4,0,NRV2X,0.1,0.6746549808722452,0.14822391123639583,0.8868631272270655,0.1143454322274122
425,23,4,0,NRV2X,0.15,0.44881533202463153,0.22280878763409065,0.7899922095551966,0.13407235962860978
425,23,4,0,SPC6G,0.05,0.9603719309143122,0.10412632520902193,0.9872722188613517,0.10130425353240935
425,23,4,0,SPC6G,0.1,0.8428000730390867,0.1186521017249156,0.9475902783669218,0.1058101342617433
425,23,4,0,SPC6G,0.15,0.6309761408194136,0.15848459795981443,0.8678019714518831,0.1174461707577991
425,23,11,0,NRV2X,0.05,0.8858573063968639,0.11288499770548828,0.9602949463942818,0.1042934750395352
425,23,11,0,NRV2X,0.1,0.7740896243978058,0.12918400770168423,0.9187405298110538,0.10958702384782484
425,23,11,0,NRV2X,0.15,0.6368003542802799,0.15703508851376397,0.86242911901106,0.1184369958934759
425,23,11,0,SPC6G,0.05,0.9840206320592847,0.10162388545728711,0.9945426482107302,0.10055143660076289
425,23,11,0,SPC6G,0.1,0.9384317377927791,0.10656076086599878,0.9785795497507682,0.10223173692720068
425,23,11,0,SPC6G,0.15,0.854623930427453,0.11701053111160076,0.9475962884050291,0.10580211482386324
450,23,4,0,NRV2X,0.05,0.831490520728215,0.12026595313728956,0.9442819206973653,0.10623644445168275
450,23,4,0,NRV2X,0.1,0.6426422864194492,0.15560756289033015,0.8740093987635068,0.1165171233149342
450,23,4,0,NRV2X,0.15,0.4089237197933471,0.24454438605453316,0.7699359732519412,0.13988667680892153
450,23,4,0,SPC6G,0.05,0.9552623069494779,0.10468328884381368,0.9855874866554637,0.10148209749616748
450,23,4,0,SPC6G,0.1,0.8251968639188688,0.12118320412064938,0.9411485197117611,0.10661924320168573
450,23,4,0,SPC6G,0.15,0.5981262784101535,0.16718877536329702,0.853608513923371,0.12006420257914109
450,23,11,0,NRV2X,0.05,0.8744168925520045,0.11436192604667993,0.9557750488236356,0.10482339351359546
450,23,11,0,NRV2X,0.1,0.7537817855815127,0.13266438896882338,0.9100584906410779,0.11080162201208792
450,23,11,0,NRV2X,0.15,0.6076562777427906,0.16456671915159266,0.8490200221022036,0.12086487606495573
450,23,11,0,SPC6G,0.05,0.9823223139034613,0.10179958103835521,0.9938994727208739,0.10061712841326775
450,23,11,0,SPC6G,0.1,0.9322617753352513,0.10726600901773424,0.9761417721499516,0.10249669861617612
450,23,11,0,SPC6G,0.15,0.8408018579997163,0.11893408541924719,0.9419755289100125,0.10649327117098872
475,23,4,0,NRV2X,0.05,0.8068827508804732,0.1239337436460002,0.9374119622065207,0.10712130941139864
475,23,4,0,NRV2X,0.1,0.6065550007994405,0.16486551074214184,0.8606366788653034,0.11893454268629458
475,23,4,0,NRV2X,0.15,0.3690648663279713,0.2709550789674315,0.7498924179057427,0.14644009691684703
475,23,4,0,SPC6G,0.05,0.9481782866423061,0.10546539760377822,0.9837170266548059,0.101681262501548
475,23,4,0,SPC6G,0.1,0.8047479794934357,0.12426250521678471,0.9343284927008447,0.10750140630244068
475,23,4,0,SPC6G,0.15,0.5639096243948777,0.17733338051697273,0.8391235694469463,0.12292766147603267
475,23,11,0,NRV2X,0.05,0.8611855846478365,0.11611898966108784,0.9510455756148456,0.10538817332097009
475,23,11,0,NRV2X,0.1,0.7322038248452742,0.13657399293309008,0.9011657573512878,0.11209024055813803
475,23,11,0,NRV2X,0.15,0.5782644186740098,0.1729312694516207,0.835482241930794,0.12346819573428898
475,23,11,0,SPC6G,0.05,0.9803339744056995,0.10200605366209231,0.9932211978051152,0.10068657467570899
475,23,11,0,SPC6G,0.1,0.925567489867169,0.10804182417248828,0.9736130580358126,0.10277395489399173
475,23,11,0,SPC6G,0.15,0.826417428768384,0.1210042244014998,0.936197623902931,0.10721881883251427
500,23,4,0,NRV2X,0.05,0.7891704106726581,0.1267153439201603,0.9303528407049081,0.10805435867372062
500,23,4,0,NRV2X,0.1,0.5776745172080417,0.1731078609513709,0.8471622902149576,0.12151422450844107
500,23,4,0,NRV2X,0.15,0.33355871772961976,0.2997972911056076,0.7300670036116417,0.15374282044964516
500,23,4,0,SPC6G,0.05,0.9429781580257851,0.10604699499016983,0.9817770805296144,0.10188915452481571
500,23,4,0,SPC6G,0.1,0.7878811310830118,0.1269226994464777,0.9273548088142812,0.10842622978549005
500,23,4,0,SPC6G,0.15,0.532077899939745,0.1879424046954863,0.8245023470894605,0.12602360162933998
500,23,11,0,NRV2X,0.05,0.8496761581162333,0.11769189831300443,0.946218460495864,0.10597406498725744
500,23,11,0,NRV2X,0.1,0.710953724773786,0.14065613065297378,0.8921080415142639,0.1134505210388445
500,23,11,0,NRV2X,0.15,0.5510744814797954,0.18146367389662263,0.8219390152426511,0.12622988517059058
500,23,11,0,SPC6G,0.05,0.9785827385156856,0.10218859996619195,0.9925241283151424,0.1007580996895415
500,23,11,0,SPC6G,0.1,0.9188283998838774,0.108834250239368,0.9710042647904823,0.1030625403866287
500,23,11,0,SPC6G,0.15,0.8126798673230211,0.12304968293283973,0.9303158259705543,0.10797266950395834
